Niveau	Chemin complet
1	LOISIRS & VOYAGES > Collections
1	LOISIRS & VOYAGES > Jardinage
2	LOISIRS & VOYAGES > Jardinage > Arbres et arbustes
2	LOISIRS & VOYAGES > Jardinage > Jardin d'ornement
2	LOISIRS & VOYAGES > Jardinage > Jardinage bio
2	LOISIRS & VOYAGES > Jardinage > Potager
1	LOISIRS & VOYAGES > Jeux
2	LOISIRS & VOYAGES > Jeux > Échecs
2	LOISIRS & VOYAGES > Jeux > Jeux de cartes
2	LOISIRS & VOYAGES > Jeux > Jeux de société
2	LOISIRS & VOYAGES > Jeux > Puzzles
1	LOISIRS & VOYAGES > Loisirs créatifs
2	LOISIRS & VOYAGES > Loisirs créatifs > Couture et tricot
2	LOISIRS & VOYAGES > Loisirs créatifs > Création bijoux
2	LOISIRS & VOYAGES > Loisirs créatifs > DIY déco
2	LOISIRS & VOYAGES > Loisirs créatifs > Peinture et dessin
2	LOISIRS & VOYAGES > Loisirs créatifs > Poterie et céramique
2	LOISIRS & VOYAGES > Loisirs créatifs > Scrapbooking
2	LOISIRS & VOYAGES > Loisirs créatifs > Travail du bois
1	LOISIRS & VOYAGES > Nature
2	LOISIRS & VOYAGES > Nature > Animaux
2	LOISIRS & VOYAGES > Nature > Environnement
2	LOISIRS & VOYAGES > Nature > Montagne
2	LOISIRS & VOYAGES > Nature > Oiseaux
2	LOISIRS & VOYAGES > Nature > Plantes et fleurs
1	LOISIRS & VOYAGES > Sports
2	LOISIRS & VOYAGES > Sports > Arts martiaux
2	LOISIRS & VOYAGES > Sports > Basketball
2	LOISIRS & VOYAGES > Sports > Cyclisme
2	LOISIRS & VOYAGES > Sports > Équitation
2	LOISIRS & VOYAGES > Sports > Fitness et musculation
2	LOISIRS & VOYAGES > Sports > Football
2	LOISIRS & VOYAGES > Sports > Golf
2	LOISIRS & VOYAGES > Sports > Pêche et chasse
2	LOISIRS & VOYAGES > Sports > Rugby
2	LOISIRS & VOYAGES > Sports > Sports aériens
2	LOISIRS & VOYAGES > Sports > Sports d'hiver
2	LOISIRS & VOYAGES > Sports > Sports mécaniques
2	LOISIRS & VOYAGES > Sports > Sports nautiques
2	LOISIRS & VOYAGES > Sports > Tennis et sports raquette
2	LOISIRS & VOYAGES > Sports > Yoga
1	LOISIRS & VOYAGES > Voyage
2	LOISIRS & VOYAGES > Voyage > Beaux livres voyage
2	LOISIRS & VOYAGES > Voyage > Cartes routières
2	LOISIRS & VOYAGES > Voyage > Croisières
2	LOISIRS & VOYAGES > Voyage > Guide Europe
2	LOISIRS & VOYAGES > Voyage > Guide France
2	LOISIRS & VOYAGES > Voyage > Guide Monde
2	LOISIRS & VOYAGES > Voyage > Récits de voyages
2	LOISIRS & VOYAGES > Voyage > Tourisme aventure
0	MANGA
1	MANGA > Artbook
1	MANGA > Hentai
1	MANGA > Isekai
1	MANGA > Josei - Femmes
1	MANGA > Light Novel
1	MANGA > Manga humour
1	MANGA > Mecha
1	MANGA > Seinen - Adulte
1	MANGA > Shōjo - Romance
1	MANGA > Shōnen - Action
1	MANGA > Slice of life
1	MANGA > Sport
1	MANGA > Thriller & Horreur
1	MANGA > Webtoon
1	MANGA > Yaoi & Yuri
0	OCCASIONS DU MOMENT
1	OCCASIONS DU MOMENT > Best-sellers d'hier
1	OCCASIONS DU MOMENT > Coups de cœur libraire
1	OCCASIONS DU MOMENT > Prix littéraires années précédentes
1	OCCASIONS DU MOMENT > Rentrée littéraire
0	PAR BUDGET
1	PAR BUDGET > 10€ à 20€
1	PAR BUDGET > 3€ à 5€
1	PAR BUDGET > 5€ à 10€
1	PAR BUDGET > Moins de 3€
1	PAR BUDGET > Plus de 20€
0	SAVOIRS
1	SAVOIRS > Agriculture
1	SAVOIRS > Biologie
2	SAVOIRS > Biologie > Anatomie
2	SAVOIRS > Biologie > Biochimie
